258,78,
254,82,
253,82,
251,82,
249,85,
246,87,
244,85,
241,89,
238,89,
238,87,
234,88,
233,90,
232,92,
232,88,
232,89,
229,93,
227,96,
224,95,
223,98,
221,98,
218,96,
215,99,
216,99,
214,102,
212,101,
210,102,
209,104,
208,106,
208,107,
207,109,
206,109,
205,108,
206,110,
205,108,
205,113,
202,112,
203,113,
204,115,
204,117,
204,121,
204,121,
204,121,
206,123,
205,125,
207,131,
208,128,
206,128,
209,130,
211,129,
211,135,
211,135,
211,135,
208,137,
211,139,
210,143,
207,139,
208,145,
208,144,
207,144,
207,147,
204,147,
206,152,
206,155,
206,158,
206,159,
205,160,
207,162,
207,162,
207,163,
211,167,
214,166,
218,170,
222,170,
227,172,
228,174,
235,176,
237,180,
240,178,
247,181,
249,183,
253,186,
256,185,
258,187,
260,189,
263,187,
265,190,
267,190,
267,189,
274,193,
281,194,
284,195,
285,194,
292,198,
295,200,
297,206,
300,203,
302,206,
307,204,
312,208,
313,211,
320,212,
325,213,
330,219,
331,216,
336,220,
343,220,
349,224,
353,227,
361,225,
366,231,
372,230,
374,236,
379,233,
385,236,
391,240,
400,242,
402,245,
408,247,
412,247,
417,250,

